,Sequence name,Sequence length,Number of unique pitches,Max velocity,Min velocity,Avg velocity,Median velocity,Velocity std,Highest pitch,Lowest pitch,Avg pitch,Median pitch,Pitch std,Longest note (s),Shortest note (s),Avg duration (s),Median duration (s),Duration std
0,Abdelmola01,2628,65,105,3,54.66,54.0,18.82,96,28,64.27,64.0,13.42,4.97,0.0,0.22,0.08,0.36
1,Abdelmola02,2415,70,104,3,54.08,55.0,13.48,101,30,72.18,75.0,13.65,6.24,0.02,0.12,0.08,0.33
2,Abdelmola03,8223,77,122,3,57.61,57.0,17.62,100,23,61.2,62.0,12.76,9.87,0.0,0.23,0.12,0.34
3,AbdelmoulaJS01,4480,71,105,1,62.52,65.0,19.13,104,27,62.82,63.0,11.37,11.09,0.0,0.34,0.15,0.62
4,AbdelmoulaJS02,8059,72,109,2,56.51,56.0,17.78,96,24,61.02,61.0,13.77,11.56,0.0,0.29,0.16,0.52
5,AbdelmoulaJS03,2863,68,104,3,54.97,55.0,14.6,96,29,63.15,63.0,14.86,3.66,0.02,0.3,0.15,0.42
6,AbdelmoulaJS04,1362,62,109,2,65.73,66.0,16.56,94,29,63.09,65.0,13.96,6.61,0.0,0.16,0.08,0.37
7,AbdelmoulaJS05,3834,71,109,3,54.39,53.0,19.27,96,24,58.7,58.0,12.41,11.56,0.0,0.33,0.19,0.61
8,AbdelmoulaJS07,7034,75,105,2,57.85,58.0,17.3,100,25,67.48,68.0,12.78,12.89,0.0,0.25,0.11,0.42
9,AbdelmoulaJS08,8209,77,107,2,61.12,61.0,17.15,100,23,61.11,62.0,12.75,8.7,0.0,0.26,0.15,0.34
10,AbdelmoulaJS09,21420,72,108,2,55.14,55.0,16.6,101,28,63.32,64.0,12.75,19.6,0.0,0.23,0.1,0.49
11,AbdelmoulaJS10,10395,71,100,2,53.09,53.0,16.27,101,29,62.72,64.0,12.39,7.73,0.0,0.24,0.12,0.41
